0,0,0
379,1,379
1079,0,700
1379,1,300
3159,0,1780
3519,1,360
4209,0,690
4569,1,360
5289,0,720
5589,1,300
6339,0,750
6649,1,310
8449,0,1800
8779,1,330
9479,0,700
9829,1,350
10529,0,700
10879,1,350
11579,0,700
11909,1,330
12639,0,730
12989,1,350
14739,0,1750
15069,1,330
16869,0,1800
17209,1,340
18979,0,1770
19309,1,330
20009,0,700
20389,1,380
21059,0,670
21439,1,380
67798,0,46359
68148,1,350
68868,0,720
69208,1,340
70957,0,1749
71337,1,380
72007,0,670
72387,1,380
73057,0,670
73417,1,360
74137,0,720
74467,1,330
75187,0,720
75517,1,330
77277,0,1760
77627,1,350
79406,0,1779
79736,1,330
81536,0,1800
