0,0,0
359,1,359
1049,0,690
1439,1,390
3159,0,1720
3539,1,380
4209,0,670
4569,1,360
5269,0,700
5619,1,350
6319,0,700
6679,1,360
7399,0,720
7749,1,350
9479,0,1730
9859,1,380
10529,0,670
10909,1,380
11579,0,670
11969,1,390
12639,0,670
12989,1,350
14739,0,1750
15129,1,390
16879,0,1750
17179,1,300
18979,0,1800
19339,1,360
20039,0,700
20389,1,350
21059,0,670
21439,1,380
67798,0,46359
68148,1,350
68878,0,730
69208,1,330
71007,0,1799
71317,1,310
72037,0,720
72387,1,350
73087,0,700
73417,1,330
74157,0,740
74467,1,310
76267,0,1800
76547,1,280
77297,0,750
77627,1,330
79406,0,1779
79756,1,350
81506,0,1750
